times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)|(1.0, 0.1, 0.0)|(1.0, 0.2, 0.0)|(1.0, 0.3, 0.0)|(1.0, 0.4, 0.0)|(1.0, 0.5, 0.0)|(1.0, 0.6, 0.0)|(1.0, 0.7, 0.0)|(1.0, 0.8, 0.0)|(1.0, 0.9, 0.0)|(1.0, 1.0, 0.0)|(1.0, 1.0, 0.05)|(1.0, 1.0, 0.1)|(1.0, 1.0, 0.15)|(1.0, 1.0, 0.2)|(1.0, 1.0, 0.25)|(1.0, 1.0, 0.3)|(1.0, 1.0, 0.35)|(1.0, 1.0, 0.4)|(1.0, 1.0, 0.45)|(1.0, 1.0, 0.5)|(1.0, 1.0, 0.55)|(1.0, 1.0, 0.6)|(1.0, 1.0, 0.65)|(1.0, 1.0, 0.7)|(1.0, 1.0, 0.75)|(1.0, 1.0, 0.8)|(1.0, 1.0, 0.85)|(1.0, 1.0, 0.9)|(1.0, 1.0, 0.95)|(1.0, 1.0, 1.0)
83.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
84.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
84.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
84.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
85.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
85.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
86.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
86.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
86.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
87.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
87.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
88.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
88.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
88.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
89.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
89.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
90.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
90.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
90.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
91.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
91.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
92.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
92.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
92.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
93.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
93.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
94.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
94.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
94.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
95.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
95.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
96.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
96.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
96.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
97.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
97.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
98.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
98.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
98.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
99.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
99.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
100.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
100.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
100.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
101.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
101.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
102.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
102.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
102.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
103.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
103.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
104.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
104.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
104.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
105.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
105.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
106.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
106.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
106.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
107.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
107.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
108.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
108.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
108.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
109.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
109.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
110.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
110.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
110.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
111.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
111.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
112.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
112.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
112.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
113.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
113.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
114.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
114.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
114.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
115.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
115.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
116.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
116.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
116.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
117.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
117.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
118.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
118.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
118.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
119.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
119.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
120.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
120.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
120.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
